"id","level"
1001,2
1003,3
1005,3
1007,2
1009,1
1011,3
1013,3
1015,2
1017,3
1019,2
1021,2
1023,2
1025,2
1027,2
1029,2
1031,3
1033,0
1035,3
1037,2
1039,3
1041,3
1043,0
1045,3
1047,2
1049,1
1051,2
1053,3
1055,1
1057,1
1059,0
1061,3
1063,1
1065,1
1067,3
1069,3
1071,1
1073,1
1075,0
1077,0
1079,0
1081,3
1083,0
1085,2
1087,3
1089,0
1091,2
1093,0
1095,1
1097,3
1099,3
1101,3
1103,0
1105,2
1107,1
1109,3
1111,2
1113,3
1115,1
1117,2
1119,1
1121,2
1123,2
1125,1
1127,1
1129,2
1131,2
1133,0
2013,0
2016,0
2020,1
2050,1
2060,0
2068,1
2070,1
2090,1
2100,1
2110,0
2122,1
2130,0
2150,1
2164,1
2170,1
2180,0
2185,0
2188,0
2201,0
2220,1
2232,1
2240,1
2261,1
2270,0
2280,0
2282,1
2290,1
4001,5
4003,4
4005,5
4007,5
4009,4
4011,4
4012,4
4013,4
4015,5
4017,5
4019,4
4021,4
4023,4
4025,5
4027,4
5001,1
5003,1
5005,0
5007,0
5009,0
5011,1
5013,1
5015,0
5017,1
5019,1
5021,0
5023,0
5025,1
5027,2
5029,0
5031,1
5033,0
5035,1
5037,1
5039,1
5041,1
5043,1
5045,1
5047,0
5049,0
5051,1
5053,1
5055,0
5057,1
5059,1
5061,1
5063,0
5065,0
5067,1
5069,1
5071,0
5073,2
5075,0
5077,1
5079,1
5081,1
5083,0
5085,1
5087,0
5089,0
5091,2
5093,1
5095,1
5097,1
5099,1
5101,0
5103,1
5105,0
5107,1
5109,1
5111,1
5113,0
5115,0
5117,1
5119,1
5121,0
5123,1
5125,1
5127,0
5129,0
5131,0
5133,1
5135,0
5137,0
5139,1
5141,0
5143,0
5145,1
5147,1
5149,0
6001,1
6003,2
6005,1
6007,1
6009,1
6011,1
6013,1
6015,0
6017,2
6019,3
6021,1
6023,0
6025,4
6027,4
6029,3
6031,2
6033,1
6035,2
6037,3
6039,2
6041,1
6043,2
6045,1
6047,1
6049,2
6051,3
6053,1
6055,1
6057,2
6059,3
6061,2
6063,2
6065,4
6067,1
6069,1
6071,4
6073,4
6075,1
6077,1
6079,2
6081,1
6083,2
6085,1
6087,1
6089,1
6091,2
6093,1
6095,1
6097,1
6099,1
6101,1
6103,1
6105,1
6107,3
6109,2
6111,2
6113,1
6115,1
8001,3
8003,5
8005,3
8007,5
8009,4
8011,4
8013,3
8014,3
8015,4
8017,4
8019,3
8021,5
8023,5
8025,4
8027,4
8029,5
8031,3
8033,5
8035,3
8037,4
8039,3
8041,4
8043,4
8045,5
8047,3
8049,4
8051,5
8053,5
8055,4
8057,5
8059,3
8061,4
8063,4
8065,4
8067,5
8069,5
8071,5
8073,3
8075,4
8077,5
8079,5
8081,5
8083,5
8085,5
8087,4
8089,4
8091,5
8093,4
8095,4
8097,5
8099,4
8101,4
8103,5
8105,5
8107,5
8109,5
8111,5
8113,5
8115,4
8117,3
8119,3
8121,4
8123,4
8125,4
9001,2
9003,1
9005,1
9007,2
9009,2
9011,2
9013,1
9015,1
10001,3
10003,3
10005,3
11001,3
12001,0
12003,1
12005,2
12007,0
12009,0
12011,0
12013,2
12015,0
12017,0
12019,0
12021,0
12023,1
12027,0
12029,0
12031,0
12033,3
12035,0
12037,1
12039,2
12041,0
12043,0
12045,2
12047,2
12049,0
12051,0
12053,0
12055,0
12057,0
12059,2
12061,0
12063,2
12065,2
12067,0
12069,0
12071,0
12073,2
12075,0
12077,2
12079,2
12081,0
12083,0
12085,0
12086,0
12087,0
12089,1
12091,3
12093,0
12095,0
12097,0
12099,0
12101,0
12103,0
12105,0
12107,0
12109,0
12111,0
12113,3
12115,0
12117,0
12119,0
12121,1
12123,1
12125,0
12127,0
12129,2
12131,3
12133,2
13001,4
13003,3
13005,4
13007,3
13009,4
13011,3
13013,3
13015,2
13017,3
13019,3
13021,4
13023,4
13025,3
13027,3
13029,4
13031,4
13033,4
13035,4
13037,3
13039,2
13043,4
13045,2
13047,1
13049,3
13051,3
13053,4
13055,1
13057,2
13059,3
13061,3
13063,3
13065,3
13067,2
13069,4
13071,3
13073,4
13075,3
13077,3
13079,4
13081,3
13083,1
13085,2
13087,3
13089,3
13091,4
13093,4
13095,3
13097,2
13099,3
13101,3
13103,4
13105,3
13107,4
13109,4
13111,2
13113,3
13115,2
13117,2
13119,3
13121,3
13123,2
13125,4
13127,3
13129,2
13131,3
13133,4
13135,3
13137,2
13139,2
13141,4
13143,2
13145,4
13147,3
13149,3
13151,4
13153,4
13155,3
13157,3
13159,4
13161,4
13163,4
13165,4
13167,4
13169,4
13171,4
13173,3
13175,4
13177,3
13179,4
13181,4
13183,4
13185,3
13187,2
13189,4
13191,3
13193,4
13195,3
13197,4
13199,4
13201,3
13205,3
13207,4
13209,4
13211,4
13213,2
13215,4
13217,4
13219,3
13221,3
13223,2
13225,4
13227,2
13229,3
13231,4
13233,2
13235,4
13237,4
13239,3
13241,3
13243,3
13245,4
13247,3
13249,4
13251,4
13253,3
13255,4
13257,3
13259,3
13261,4
13263,4
13265,4
13267,4
13269,4
13271,4
13273,3
13275,3
13277,3
13279,4
13281,2
13283,4
13285,3
13287,3
13289,4
13291,2
13293,4
13295,1
13297,3
13299,3
13301,4
13303,4
13305,4
13307,4
13309,4
13311,2
13313,1
13315,4
13317,3
13319,4
13321,3
15001,0
15003,1
15005,0
15007,0
15009,1
16001,3
16003,2
16005,3
16007,4
16009,0
16011,3
16013,3
16015,2
16017,0
16019,3
16021,0
16023,3
16025,3
16027,3
16029,3
16031,3
16033,4
16035,0
16037,3
16039,3
16041,3
16043,4
16045,2
16047,3
16049,0
16051,3
16053,3
16055,0
16057,0
16059,3
16061,0
16063,3
16065,3
16067,3
16069,0
16071,3
16073,3
16075,2
16077,3
16079,0
16081,3
16083,3
16085,2
16087,2
17001,0
17003,0
17005,1
17007,0
17009,0
17011,0
17013,0
17015,0
17017,1
17019,1
17021,1
17023,1
17025,1
17027,0
17029,1
17031,1
17033,1
17035,1
17037,0
17039,1
17041,1
17043,0
17045,1
17047,0
17049,1
17051,1
17053,1
17055,0
17057,1
17059,0
17061,1
17063,1
17065,0
17067,0
17069,0
17071,0
17073,0
17075,1
17077,0
17079,1
17081,0
17083,0
17085,0
17087,0
17089,0
17091,1
17093,1
17095,1
17097,0
17099,1
17101,1
17103,0
17105,1
17107,1
17109,0
17111,0
17113,1
17115,1
17117,1
17119,0
17121,0
17123,1
17125,1
17127,0
17129,1
17131,0
17133,0
17135,1
17137,1
17139,1
17141,0
17143,1
17145,0
17147,1
17149,0
17151,0
17153,0
17155,1
17157,0
17159,1
17161,0
17163,0
17165,0
17167,1
17169,1
17171,0
17173,1
17175,1
17177,0
17179,1
17181,0
17183,1
17185,0
17187,0
17189,0
17191,0
17193,0
17195,0
17197,1
17199,0
17201,0
17203,1
18001,0
18003,0
18005,0
18007,1
18009,0
18011,0
18013,0
18015,1
18017,1
18019,0
18021,0
18023,0
18025,0
18027,0
18029,0
18031,0
18033,1
18035,0
18037,0
18039,1
18041,0
18043,0
18045,1
18047,0
18049,1
18051,0
18053,0
18055,0
18057,0
18059,0
18061,0
18063,0
18065,0
18067,0
18069,0
18071,0
18073,1
18075,0
18077,0
18079,0
18081,0
18083,0
18085,1
18087,1
18089,1
18091,1
18093,0
18095,0
18097,0
18099,1
18101,0
18103,0
18105,0
18107,1
18109,0
18111,1
18113,1
18115,0
18117,0
18119,0
18121,1
18123,0
18125,0
18127,1
18129,0
18131,1
18133,0
18135,0
18137,0
18139,0
18141,1
18143,0
18145,0
18147,0
18149,1
18151,1
18153,1
18155,0
18157,1
18159,0
18161,0
18163,0
18165,1
18167,1
18169,0
18171,1
18173,0
18175,0
18177,0
18179,0
18181,1
18183,1
19001,1
19003,2
19005,0
19007,1
19009,1
19011,0
19013,0
19015,1
19017,0
19019,0
19021,1
19023,1
19025,1
19027,1
19029,2
19031,0
19033,1
19035,1
19037,0
19039,1
19041,1
19043,0
19045,0
19047,2
19049,1
19051,0
19053,1
19055,0
19057,0
19059,1
19061,0
19063,1
19065,0
19067,1
19069,1
19071,2
19073,1
19075,1
19077,1
19079,1
19081,1
19083,1
19085,2
19087,0
19089,0
19091,1
19093,1
19095,0
19097,0
19099,1
19101,0
19103,0
19105,0
19107,0
19109,1
19111,0
19113,0
19115,0
19117,1
19119,1
19121,1
19123,1
19125,1
19127,1
19129,2
19131,1
19133,2
19135,1
19137,2
19139,0
19141,1
19143,1
19145,2
19147,1
19149,2
19151,1
19153,1
19155,2
19157,0
19159,1
19161,1
19163,0
19165,2
19167,1
19169,1
19171,0
19173,2
19175,1
19177,0
19179,0
19181,1
19183,0
19185,1
19187,1
19189,1
19191,0
19193,2
19195,1
19197,1
20001,0
20003,0
20005,1
20007,0
20009,2
20011,0
20013,2
20015,0
20017,0
20019,0
20021,0
20023,4
20025,2
20027,1
20029,2
20031,0
20033,0
20035,0
20037,0
20039,4
20041,1
20043,2
20045,0
20047,2
20049,0
20051,3
20053,1
20055,3
20057,3
20059,0
20061,1
20063,3
20065,3
20067,4
20069,3
20071,4
20073,0
20075,4
20077,0
20079,0
20081,4
20083,3
20085,1
20087,1
20089,2
20091,0
20093,4
20095,0
20097,1
20099,0
20101,3
20103,1
20105,2
20107,0
20109,4
20111,0
20113,1
20115,0
20117,1
20119,3
20121,0
20123,2
20125,0
20127,0
20129,4
20131,2
20133,0
20135,3
20137,4
20139,0
20141,3
20143,1
20145,2
20147,4
20149,1
20151,0
20153,4
20155,0
20157,2
20159,1
20161,1
20163,3
20165,3
20167,2
20169,1
20171,3
20173,0
20175,4
20177,1
20179,4
20181,4
20183,3
20185,1
20187,4
20189,4
20191,0
20193,4
20195,3
20197,1
20199,4
20201,1
20203,4
20205,0
20207,0
20209,1
21001,0
21003,0
21005,0
21007,0
21009,0
21011,0
21013,1
21015,0
21017,0
21019,0
21021,0
21023,0
21025,0
21027,0
21029,0
21031,0
21033,0
21035,0
21037,0
21039,0
21041,0
21043,0
21045,0
21047,0
21049,0
21051,0
21053,0
21055,0
21057,0
21059,0
21061,0
21063,0
21065,0
21067,0
21069,0
21071,0
21073,0
21075,0
21077,0
21079,0
21081,0
21083,0
21085,0
21087,0
21089,0
21091,0
21093,0
21095,1
21097,0
21099,0
21101,0
21103,0
21105,0
21107,0
21109,0
21111,0
21113,0
21115,0
21117,0
21119,0
21121,0
21123,0
21125,0
21127,0
21129,0
21131,0
21133,1
21135,0
21137,0
21139,0
21141,0
21143,0
21145,0
21147,0
21149,0
21151,0
21153,0
21155,0
21157,0
21159,0
21161,0
21163,0
21165,0
21167,0
21169,0
21171,0
21173,0
21175,0
21177,0
21179,0
21181,0
21183,0
21185,0
21187,0
21189,0
21191,0
21193,0
21195,0
21197,0
21199,0
21201,0
21203,0
21205,0
21207,0
21209,0
21211,0
21213,0
21215,0
21217,0
21219,0
21221,0
21223,0
21225,0
21227,0
21229,0
21231,0
21233,0
21235,1
21237,0
21239,0
22001,2
22003,3
22005,2
22007,2
22009,3
22011,2
22013,3
22015,3
22017,3
22019,1
22021,2
22023,1
22025,3
22027,2
22029,3
22031,3
22033,2
22035,1
22037,2
22039,3
22041,2
22043,3
22045,2
22047,2
22049,3
22051,2
22053,2
22055,2
22057,2
22059,3
22061,2
22063,2
22065,1
22067,1
22069,3
22071,2
22073,2
22075,2
22077,3
22079,3
22081,3
22083,2
22085,3
22087,2
22089,2
22091,2
22093,2
22095,2
22097,3
22099,2
22101,2
22103,2
22105,2
22107,2
22109,2
22111,1
22113,1
22115,3
22117,2
22119,3
22121,2
22123,1
22125,3
22127,3
23001,1
23003,2
23005,1
23007,1
23009,1
23011,1
23013,1
23015,1
23017,1
23019,2
23021,2
23023,1
23025,2
23027,1
23029,1
23031,1
24001,1
24003,3
24005,3
24009,3
24011,3
24013,3
24015,3
24017,3
24019,3
24021,2
24023,1
24025,3
24027,3
24029,3
24031,3
24033,3
24035,3
24037,3
24039,2
24041,3
24043,1
24045,2
24047,2
24510,3
25001,1
25003,1
25005,1
25007,1
25009,1
25011,1
25013,1
25015,1
25017,1
25019,1
25021,1
25023,1
25025,1
25027,1
26001,0
26003,0
26005,1
26007,0
26009,0
26011,0
26013,0
26015,1
26017,0
26019,0
26021,1
26023,1
26025,1
26027,1
26029,0
26031,0
26033,0
26035,0
26037,1
26039,0
26041,0
26043,0
26045,1
26047,0
26049,1
26051,0
26053,0
26055,0
26057,1
26059,1
26061,0
26063,0
26065,1
26067,1
26069,0
26071,0
26073,1
26075,1
26077,1
26079,0
26081,1
26083,0
26085,0
26087,1
26089,0
26091,1
26093,1
26095,0
26097,0
26099,1
26101,0
26103,0
26105,0
26107,0
26109,0
26111,1
26113,0
26115,1
26117,1
26119,0
26121,0
26123,0
26125,1
26127,0
26129,0
26131,0
26133,0
26135,0
26137,0
26139,1
26141,0
26143,0
26145,1
26147,1
26149,1
26151,1
26153,0
26155,1
26157,1
26159,1
26161,1
26163,1
26165,0
27001,0
27003,0
27005,0
27007,0
27009,0
27011,0
27013,1
27015,1
27017,0
27019,0
27021,0
27023,0
27025,0
27027,0
27029,0
27031,0
27033,1
27035,0
27037,0
27039,0
27041,0
27043,1
27045,0
27047,1
27049,0
27051,0
27053,0
27055,0
27057,0
27059,0
27061,0
27063,1
27065,0
27067,0
27069,0
27071,0
27073,1
27075,0
27077,0
27079,0
27081,1
27083,1
27085,0
27087,0
27089,0
27091,1
27093,0
27095,0
27097,0
27099,0
27101,1
27103,0
27105,1
27107,0
27109,0
27111,0
27113,0
27115,0
27117,1
27119,0
27121,0
27123,0
27125,0
27127,1
27129,0
27131,0
27133,1
27135,0
27137,0
27139,0
27141,0
27143,0
27145,0
27147,0
27149,0
27151,0
27153,0
27155,0
27157,0
27159,0
27161,1
27163,0
27165,1
27167,0
27169,0
27171,0
27173,1
28001,2
28003,1
28005,2
28007,1
28009,1
28011,1
28013,1
28015,1
28017,1
28019,0
28021,1
28023,1
28025,0
28027,1
28029,1
28031,1
28033,1
28035,2
28037,2
28039,2
28041,2
28043,1
28045,2
28047,2
28049,1
28051,1
28053,1
28055,1
28057,0
28059,2
28061,1
28063,1
28065,1
28067,1
28069,1
28071,1
28073,2
28075,1
28077,1
28079,1
28081,1
28083,1
28085,1
28087,1
28089,1
28091,2
28093,1
28095,0
28097,1
28099,1
28101,1
28103,1
28105,0
28107,1
28109,2
28111,2
28113,2
28115,1
28117,1
28119,1
28121,1
28123,1
28125,1
28127,1
28129,1
28131,2
28133,1
28135,1
28137,1
28139,1
28141,0
28143,1
28145,1
28147,2
28149,1
28151,1
28153,2
28155,1
28157,3
28159,1
28161,1
28163,1
29001,1
29003,2
29005,2
29007,0
29009,0
29011,0
29013,0
29015,0
29017,0
29019,0
29021,1
29023,0
29025,1
29027,0
29029,0
29031,0
29033,1
29035,0
29037,0
29039,0
29041,1
29043,0
29045,0
29047,1
29049,1
29051,0
29053,0
29055,0
29057,0
29059,0
29061,1
29063,1
29065,0
29067,0
29069,1
29071,0
29073,0
29075,1
29077,0
29079,1
29081,1
29083,0
29085,0
29087,2
29089,1
29091,0
29093,0
29095,1
29097,0
29099,0
29101,0
29103,0
29105,0
29107,1
29109,0
29111,0
29113,0
29115,1
29117,1
29119,0
29121,1
29123,0
29125,0
29127,0
29129,1
29131,0
29133,0
29135,0
29137,0
29139,0
29141,0
29143,0
29145,0
29147,2
29149,0
29151,0
29153,0
29155,1
29157,0
29159,0
29161,0
29163,0
29165,1
29167,0
29169,0
29171,1
29173,0
29175,1
29177,1
29179,0
29181,0
29183,0
29185,0
29186,0
29187,0
29189,0
29195,1
29197,1
29199,0
29201,0
29203,0
29205,0
29207,0
29209,0
29211,1
29213,0
29215,0
29217,0
29219,0
29221,0
29223,0
29225,0
29227,1
29229,0
29510,0
30001,4
30003,4
30005,4
30007,4
30009,4
30011,4
30013,4
30015,4
30017,4
30019,0
30021,2
30023,2
30025,3
30027,4
30029,2
30031,4
30033,3
30035,2
30037,4
30039,2
30041,3
30043,3
30045,4
30047,1
30049,3
30051,3
30053,1
30055,2
30057,4
30059,4
30061,0
30063,2
30065,4
30067,4
30069,4
30071,4
30073,3
30075,4
30077,2
30079,3
30081,2
30083,1
30085,0
30087,4
30089,1
30091,0
30093,3
30095,4
30097,4
30099,3
30101,3
30103,4
30105,2
30107,4
30109,2
30111,4
31001,3
31003,2
31005,3
31007,4
31009,2
31011,3
31013,4
31015,2
31017,2
31019,4
31021,2
31023,3
31025,2
31027,2
31029,4
31031,3
31033,4
31035,3
31037,3
31039,2
31041,4
31043,2
31045,4
31047,4
31049,4
31051,2
31053,2
31055,2
31057,4
31059,3
31061,4
31063,4
31065,4
31067,2
31069,4
31071,2
31073,4
31075,3
31077,3
31079,3
31081,3
31083,4
31085,4
31087,4
31089,2
31091,2
31093,3
31095,2
31097,2
31099,4
31101,3
31103,2
31105,4
31107,2
31109,2
31111,4
31113,3
31115,2
31117,3
31119,2
31121,3
31123,4
31125,3
31127,2
31129,2
31131,2
31133,2
31135,4
31137,4
31139,2
31141,3
31143,3
31145,4
31147,2
31149,2
31151,2
31153,2
31155,2
31157,4
31159,3
31161,3
31163,3
31165,4
31167,2
31169,2
31171,2
31173,2
31175,3
31177,2
31179,2
31181,3
31183,2
31185,3
32001,2
32003,4
32005,2
32007,3
32009,3
32011,2
32013,2
32015,2
32017,4
32019,2
32021,3
32023,4
32027,2
32029,2
32031,2
32033,3
32510,2
33001,0
33003,0
33005,1
33007,0
33009,0
33011,1
33013,1
33015,1
33017,0
33019,1
34001,3
34003,2
34005,3
34007,3
34009,2
34011,3
34013,2
34015,3
34017,2
34019,2
34021,2
34023,2
34025,2
34027,2
34029,2
34031,2
34033,3
